tag,answer
birth_certificate_and_ssc_certificate_different_information,যাদের শিক্ষাগত যোগ্যতা এসএসসি বা তদুর্দ্ধ রয়েছে তাদের ক্ষেত্রে জন্ম সনদ ও শিক্ষা সনদের তথ্যাদি একই হওয়া আবশ্যক। আপনার জমাকৃত ডকুমেন্টস যাচাই সাপেক্ষে সংশ্লিষ্ট রেজিস্ট্রেশন অফিসার আবেদন অনুমোদন/বাতিলের সিদ্ধান্ত নিতে পারেন।
birth_certificate_number_correct_or_add_document_new,অনলাইন জন্ম সনদ এর কপি দাখিলপূর্বক আবেদন করতে হবে।
birthplace_correction_new,জন্ম স্থান পরিবর্তন করতে হলে অনলাইন জন্ম সনদ ও নাগরিকত্ব সনদ দাখিল করতে হবে।
bkash_mfs_payment_process,মোবাইল ব্যাংকিংয়ের মাধ্যমে বিকাশের ক্ষেত্রে “পে বিল” অপশনে গিয়ে “এনআইডি সার্ভিস” অপশন থেকে এনআইডি ফি প্রদান করা যাবে।
blood_group_correction,জাতীয় পরিচয়পত্রে রক্তের গ্রুপ অন্তর্ভূক্তির জন্য সংশোধন আবেদনের সাথে ব্লাড গ্রুপ টেস্ট রিপোর্ট জমা দিতে হয়।
card_avail_after_address_change,নির্ধারিত ফি প্রদানপূর্বক জাতীয় পরিচয়পত্র রি-ইস্যুর জন্য অনলাইনে আবেদন করতে হবে।
card_correction_fees,"(১) কার্ডে প্রদর্শিত তথ্য ১ম বার সংশোধনের জন্য ২৩০ (ভ্যাটসহ) টাকা, ২য় বার সংশোধনের জন্য ৩৪৫ (ভ্যাটসহ), পরবর্তী প্রতিবারের সংশোধনের জন্য ৪৬০ (ভ্যাটসহ) টাকা (২) কার্ডে অপ্রদর্শিত তথ্য (ডাটাবেজ এ রক্ষিত তথ্য) সংশোধনের জন্য ১ম বার ১১৫ (ভ্যাটসহ) টাকা, ২য় বার সংশোধনের জন্য ২৩০ (ভ্যাটসহ) টাকা, পরবর্তী প্রতিবারের সংশোধনের জন্য ৩৪৫ (ভ্যাটসহ) টাকা"
card_correction_fees_payment_reference_nid_number_query,আপনি ১৭ অথবা ১০ ডিজিট যেকোন এনআইডি নম্বর ব্যবহার করে ফি জমা দিতে পারবেন।
card_correction_one_information_maximum_limit,জাতীয় তথ্য ভান্ডারে রক্ষিত তথ্য প্রয়োজনীয় দলিলাদির ভিত্তিতে সাধারণত একবার সংশোধন করা হয়। তবে উপযুক্ত দলিলাদি উপস্থাপন সাপেক্ষে পুনরায় আবেদন করলে কর্তৃপক্ষ যাচাই-বাছাই করে সিদ্ধান্ত গ্রহণ করতে পারে।
card_correction_request_canceled_by_consumer_regarding_refund_fees,"দুঃখিত, এনআইডি ওয়ালেটে একবার ফি জমা হয়ে গেলে সেটি ফেরত পাওয়ার সুযোগ নেই। তবে জমাকৃত ফি ব্যবহৃত না হয়ে থাকলে পরবর্তীতে একই জাতীয় পরিচয়পত্রের বিপরীতে ব্যবহার করা যাবে।"
card_correction_request_failed_query_regarding_refund_fees,"দুঃখিত, আপনার জমাকৃত আবেদনের বিপরীতে ফি ফেরত পাওয়ার সুযোগ নেই।"
card_correction_request_failed_query_regarding_repayment_fees,প্রতিবার আবেদনের ক্ষেত্রে নির্ধারিত পরিমাণ ফি জমা দিতে হয়।
card_damaged_how_to_get_new_card,এনআইডি নম্বর জানা থাকলে সরাসরি অনলাইনে আবেদন করুন।
card_information_correction,চাহিত তথ্যের স্বপক্ষে দলিলাদি দাখিল পূর্বক অনলাইনে সংশোধনের আবেদনের জন্য ভিজিট করুন services.nidw.gov.bd/
card_lock,অনুগ্রহপূর্বক জিরো বাটন চেপে আপনার অভিযোগটি রেকর্ড করুন। আশা করা যায় শীঘ্রই আপনার সমস্যাটি সমাধান হয়ে যাবে।
card_lost_and_damaged_cost,"হ্যাঁ, নতুন এনআইডি কার্ড পেতে নির্ধারিত ফি জমা দিয়ে অনলাইনে আবেদন করুন।"
card_lost_new_card_fee,এনআইডি অনলাইন পোর্টালে প্রবেশ করে ফিস ট্যাবের মাধ্যমে আপনার নির্দিষ্ট আবেদনের ফী এর পরিমাণ জেনে নিন।
card_lost_no_info_how_to_get_new,সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসে গিয়ে এনআইডি নম্বর সংগ্রহ করে অনলাইনে রি-ইস্যু আবেদন করতে হবে।
card_reissue_fees,"সাধারণঃ (৩০ কার্যদিবস এর মধ্যে প্রাপ্তি) ১ম বার আবেদনের ক্ষেত্রে ২৩০ (ভ্যাটসহ) টাকা, ২য় বার আবেদনের ক্ষেত্রে ৩৪৫ (ভ্যাটসহ) টাকা, পরবর্তী প্রতিবার আবেদনের ক্ষেত্রে ৫৭৫ (ভ্যাটসহ) টাকা ফিস দিতে হবে। জরুরীঃ (০৭ কার্যদিবস এর মধ্যে প্রাপ্তি) ১ম বার আবেদনের ক্ষেত্রে ৩৪৫ (ভ্যাটসহ) টাকা, ২য় বার আবেদনের ক্ষেত্রে ৫৭৫ (ভ্যাটসহ) টাকা, পরবর্তী প্রতিবার আবেদনের ক্ষেত্রে ১১৫০ (ভ্যাটসহ) টাকা ফিস দিতে হবে।"
cell_phone_number_correct_or_add_document_new,বিটিসিএল এর প্রত্যয়ন বা বিলের কপি বা সিম রেজিষ্ট্রেশন ফরম এর কপি বা মোবাইল ফোন অপারেটর কর্তৃক প্রত্যয়ন।
closing_statement,জাতীয় পরিচয়পত্র তথ্য সার্ভিসে কল করার জন্য আপনাকে ধন্যবাদ।
correction_application_current_status,আপনার এই প্রশ্নের উত্তরটি জানতে ৯ বাটন চেপে কল সেন্টার প্রতিনিধির সঙ্গে সরাসরি কথা বলুন।
correction_application_rejected_need_new_fee,"হ্যাঁ, প্রতিবার আবেদন করার জন্য নির্ধারিত হারে ফিস জমা দিতে হবে।"
correction_application_status,আপনার এই প্রশ্নের উত্তরটি জানতে ৯ বাটন চেপে কল সেন্টার প্রতিনিধির সঙ্গে সরাসরি কথা বলুন।
correction_applied_but_no_category,"দয়া করে অপেক্ষা করুন, ক্যাটাগরি প্রদানের কাজটি একটি চলমান প্রক্রিয়া, আবেদনের ভিত্তিতে পর্যায়ক্রমে ক্যাটাগরি প্রদান করা হচ্ছে। প্রয়োজনে সংশ্লিষ্ট আঞ্চলিক নির্বাচন অফিসে যোগাযোগ করুন।"
correction_applied_more_correction_needed,আবেদন বাতিল চাইতে পারেন অথবা চাহিত তথ্যাদি সংশোধন সম্পন্ন হওয়ার পর পুনরায় আবেদন করতে পারেন।
correction_fee_payment,"অনুমোদিত মোবাইল ব্যাংকিং সেবা (বিকাশ, রকেট, ওকে ওয়ালেট, টি-ক্যাশ, উপায়, মিউচুয়াল ট্রাষ্ট ব্যাংক, ফাষ্ট সিকিউরিটি ইসলামী ব্যাংক, সাউথইষ্ট ব্যাংক, ব্যাংক অফ কমার্স) থেকে নির্ধারিত অপশন এর মাধ্যমে জমা দেওয়া যায়।"
correction_fee_submitted_but_balance_zero,আপনার এই প্রশ্নের উত্তরটি জানতে ৯ বাটন চেপে কল সেন্টার প্রতিনিধির সঙ্গে সরাসরি কথা বলুন।
correction_messages_but_no_update_in_card_no_approve,আপনার এই প্রশ্নের উত্তরটি জানতে ৯ বাটন চেপে কল সেন্টার প্রতিনিধির সঙ্গে সরাসরি কথা বলুন।
correction_slip_lost_can_get_card,"হ্যাঁ, সংশোধন অনুমোদন হলে আপনি এনআইডি নম্বর দিয়ে অনলাইনে লগ-ইন করে কার্ডটি ডাউনলোড করতে পারবেন।"
dead_people_id_card_update,"মৃত ব্যক্তির উপযুক্ত ওয়ারিশ কর্তৃক অনলাইন মৃত্যু সনদসহ প্রয়োজনীয় দলিলাদি দাখিলপূর্বক মহাপরিচালক, জাতীয় পরিচয় নিবন্ধন অনুবিভাগ বরাবর সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসের মাধ্যমে অথবা সরাসরি নির্বাচন ভবন, ঢাকাতে লিখিত আবেদন করতে পারবেন"
delayed_question_prompt,"দুঃখিত, আমি আপনার প্রশ্নের জন্য অপেক্ষা করছি। অনুগ্রহপূর্বক আপনার প্রশ্নটি করুন।"
double_voter_registration_issue,সংশ্লিষ্ট উপজেলা/ থানা নির্বাচন অফিসে যোগাযোগ করুন।
dual_citizenship_certificate_of_which_countires_not_required_for_nid,"এনআইডি কার্ড পেতে দ্বৈত নাগরিকত্ব সনদ প্রয়োজন নেই, তবে বিশেষ কারণে দ্বৈত নাগরিকত্ব সনদ প্রয়োজন হলে স্বরাষ্ট্র মন্ত্রণালয়ে যোগাযোগ করুন।"
educational_qualification_correction,"চাহিত শিক্ষাগত যোগ্যতা চেয়ে আপনি এসএসসি পাশ করেননি, ভুলক্রমে লিখেছিলেন মর্মে ম্যাজিষ্ট্রেট কর্তৃক প্রদত্ত হলফনামা, অনলাইন জন্ম নিবন্ধন সনদ, পাসপোর্ট ও অন্যান্য প্রয়োজনীয় দলিলাদি দাখিলপূর্বক আবেদন করতে হবে।"
eight_hours_time_up,আপনার এই প্রশ্নের উত্তরটি জানতে ৯ বাটন চেপে কল সেন্টার প্রতিনিধির সঙ্গে সরাসরি কথা বলুন।
face_verification_no_next_option,"সাধারনত ফেস ভেরিফিকেশন সম্পন্ন হয়ে গেলে স্বয়ংক্রিয়ভাবে ওয়েবসাইটের পেজটি পরিবর্তন হয়ে যায়। তবে কিছু স্মার্টফোনে Done নামক অপশনটি আসে, সেটিতে প্রেস করে দেখতে পারেন। এরপরেও সমস্যার সমাধান না হলে নিকটতম থানা/উপজেলা নির্বাচন অফিসে গিয়ে সাহায্য নিতে পারেন।"
faster_voter_registration,"ভোটার নিবন্ধন একটি চলমান প্রক্রিয়া, ভোটারযোগ্য যে কোন ব্যক্তি ভোটার তালিকাভুক্ত হওয়ার জন্য আবেদন করতে পারবেন। সংশ্লিষ্ট রেজিষ্ট্রেশন অফিসার নির্ধারিত প্রক্রিয়ায় ভোটার তালিকাভুক্তির ব্যবস্থা করবেন।"
father_and_my_adress_different,আপনি যদি বাংলাদেশের প্রকৃত নাগরিক হন এবং আপনার যদি অনলাইন জন্ম সনদ থাকে তাহলে আপনি বর্তমান অথবা স্থায়ী যে কোন ঠিকানায় ভোটার হতে পারবেন।
finderprint_adjudication_pending,অনুগ্রহপূর্বক অপেক্ষা করুন। তবে দীর্ঘদিন পেন্ডিং থাকলে আপনি এনআইডি উইং এর কারিগরি অধিশাখায় যোগাযোগ করতে পারেন।
fingerprint_error_info_not_found,আপনার ফিঙ্গারপ্রিন্টে সমস্যা থাকলে তা সংশ্লিষ্ট থানা/উপজেলা নির্বাচন অফিসে গিয়ে আপডেট করুন। তবে একাধিকবার প্রচেষ্টা সত্বেও ফিঙ্গারপ্রিন্ট ক্যাপচার না করা গেলে এনআইডি উইং হতে অনাপত্তি পত্র/ প্রত্যয়নপত্র নেয়া যেতে পারে।
font_problem_in_new_voter_registration_form,আগের আবেদন বাতিল করে পুনরায় আবেদন করুন।
foreign_resident_action_after_biometrics_new,আপনার এই প্রশ্নের উত্তরটি জানতে ৯ বাটন চেপে কল সেন্টার প্রতিনিধির সঙ্গে সরাসরি কথা বলুন।
foreign_resident_card_collection,প্রবাসী বাংলাদেশীদের নিবন্ধন সম্পন্ন হলে অনলাইন থেকে এনআইডি এর একটি pdf কপি ডাউনলোড করে ব্যবহার করতে পারবেন। দেশভিত্তিক স্মার্ট এনআইডি কার্ড মুদ্রণ পূর্বক সংশ্লিষ্ট দূতাবাসে প্রেরণের মাধ্যমে বিতরণ করা হয়ে থাকে।
foreign_resident_card_picture_done__inquery_done_no_msg_new,আপনার এই প্রশ্নের উত্তরটি জানতে ৯ বাটন চেপে কল সেন্টার প্রতিনিধির সঙ্গে সরাসরি কথা বলুন।
foreign_resident_card_picture_done_not_inquery_from_upzilla_new,"আপনি নিজে অথবা আপনার প্রতিনিধি অথবা আপনার আত্মীয়ের মাধ্যমে সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসে যোগাযোগ করতে হবে। যদি উপজেলা/থানা নির্বাচন অফিসার ইতোমধ্যে এ বিষয়ে সরেজমিন তদন্ত করে থাকেন, তাহলে তিনি প্রতিবেদন দাখিল করবেন।"
foreign_resident_card_registration_process,"যে সকল দেশে প্রবাসী বাংলাদেশীদের এনআইডি বা ভোটার নিবন্ধন কার্যক্রম চলমান রয়েছে, সেসকল দেশের ক্ষেত্রে ওয়েব পোর্টাল services.nidw.gov.bd/ ভিজিট করে রেজিস্টেশন পূর্বক নিবন্ধন ফর্ম পূরন করুন। অতঃপর উক্ত ফর্মের প্রিন্ট কপি, অনলাইন জন্ম সনদ, পাসপোর্ট এবং পাসপোর্ট সাইজের ছবি নিয়ে এপয়েনমেন্টের তারিখ অনুযায়ী বাংলাদেশ দূতাবাস/এম্বাসী অফিসে এসে বায়োমেট্রিক প্রদান করুন।"
foreign_resident_card_registration_query_country_limitation,"বর্তমানে সংযুক্ত আরব আমিরাত, সৌদি আরব, কাতার, মালয়েশিয়া, কুয়েত, যুক্তরাজ্য, ইতালি, অস্ট্রেলিয়া ও কানাডায় প্রবাসী বাংলাদেশীদের ভোটার নিবন্ধন ও এনআইডি বিতরণ কার্যক্রম চালু রয়েছে।"
foreign_resident_card_registration_rejected,"কোন ব্যক্তি একাধিকবার ভোটার নিবন্ধনের চেষ্টা করলে আবেদন বাতিল হতে পারে। তবে অন্য কোন কারণে বাতিল হলে তা জানতে সংশ্লিষ্ট দূতাবাস অথবা এনআইডি উইং, নিবন্ধন ও প্রবাসী অধিশাখায় যোগাযোগ করুন।"
foreign_resident_card_registration_required_documents,"দূতাবাসে ভোটার নিবন্ধন করতে হলে পূরণকৃত ফরম (২ক) এর প্রিন্ট কপি, অনলাইন জন্ম সনদ, পাসপোর্ট এবং পাসপোর্ট সাইজের ছবি প্রয়োজন লাগবে।"
foreign_resident_multiple_registration_new,"আপনি বাংলাদেশে ছবিযুক্ত ভোটার তালিকায় অন্তর্ভূক্ত হয়ে থাকলে প্রবাসে নিবন্ধনের প্রয়োজন নেই। মনে রাখবেন, একাধিকবার নিবন্ধন করা আইনত দণ্ডনীয় অপরাধ।"
foreign_resident_nid_adjudication_pending,আপনার বায়োমেট্রিকস যাচাইয়ের কার্যক্রম চলমান আছে। অনুগ্রহপূর্বক অপেক্ষা করুন। দীর্ঘদিন যাবত আবেদন পেন্ডিং থাকলে অনুগ্রহপূর্বক আপনার কোনো নিকটাত্মীয়ের মাধ্যমে বাংলাদেশে অবস্থিত উপজেলা/থানা নির্বাচন অফিসে যোগাযোগ করতে পারেন। যোগাযোগের ঠিকানাঃ “*****”
foreign_resident_passport_expaired_card_registration_process,"দুঃখিত, পাসপোর্টের মেয়াদ উত্তীর্ণ হলে প্রবাসে এনআইডি বা ভোটার নিবন্ধন করা যায় না।"
form_number_not_working,"আপনি যদি ২০২০ বা তার পরে নতুন ভোটার হয়ে থাকেন সেক্ষেত্রে ফর্ম নম্বরের পূর্বে বড় হাতের অক্ষরে NIDFN লিখুন যেমন, NIDFN ও ফরম নম্বর। এরপরও ব্যর্থ হলে ৯ বাটন চেপে কল সেন্টার প্রতিনিধির সঙ্গে সরাসরি কথা বলুন।"
goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
greeting_and_request_for_question,"জাতীয় পরিচয়পত্র তথ্য সার্ভিসে আপনাকে স্বাগতম। আমি জুঁই, আপনাকে জাতীয় পরিচয়পত্র বিষয়ক কি তথ্য দিয়ে সাহায্য করতে পারি?"
greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
how_many_wife_name_can_be_added_in_nid_card,বর্তমানে ০৪ জন স্ত্রীর নাম এনআইডি ডাটাবেজে সংযোজন করা যায়। এক্ষেত্রে নিকাহনামা (বিবাহের প্রত্যয়ন) এবং স্ত্রীর এনআইডি সহ সংশ্লিষ্ট থানা/উপজেলা নির্বাচন অফিসে আবেদন জমা দিতে হবে।
how_to_apply_for_correction_in_online_portal,প্রথমে services.nidw.gov.bd/ ওয়েবসাইট ভিজিট করে একাউন্ট রেজিস্ট্রেশন করুন এবং নির্ধারিত ফী প্রদান পূর্বক এনআইডি সংশোধনের আবেদন করুন।
how_to_complain_not_getting_help_from_election_office,"আপনি যদি কোনো থানা/উপজেলা নির্বাচন অফিসের বিরুদ্ধে অভিযোগ দাখিল করতে চান সেক্ষেত্রে, সংশ্লিষ্ট “জেলা নির্বাচন আফিসার” বরাবর লিখিত অভিযোগ করতে পারেন। আপনি যদি কোনো জেলা নির্বাচন অফিসের বিরুদ্ধে অভিযোগ দাখিল করতে চান সেক্ষেত্রে, সংশ্লিষ্ট “আঞ্চলিক নির্বাচন আফিসার” বরাবর লিখিত অভিযোগ করতে পারেন। আপনি যদি কোনো আঞ্চলিক নির্বাচন অফিসের বিরুদ্ধে অভিযোগ দাখিল করতে চান সেক্ষেত্রে, “মহাপরিচালক, জাতীয় পরিচয় নিবন্ধন অনুবিভাগ” বরাবর লিখিত অভিযোগ করতে পারেন।"
husband_name_previous_card,বর্তমানে জাতীয় পরিচয়পত্রে স্বামীর নাম দৃশ্যমান থাকে না। স্বামীর নাম জাতীয় পরিচয়পত্র ডাটাবেজে সংরক্ষিত থাকে।
husband_talak_name_remove,তালাকনামা (ইসলাম ধর্ম ব্যতীত অন্যান্য ধর্মাবলম্বীদের জন্য বিবাহ বিচ্ছেদের এফিডেভিট) সংযুক্ত করে অনলাইনে সংশোধন আবেদন করতে হবে।
information_correct_but_account_locked,"আমরা আন্তরিকভাবে দুঃখিত, আপনার দেয়া তথ্যটি সঠিক নয়। সঠিক তথ্য দিয়ে পুনরায় চেষ্টা করুন।"
instant_card_correction_fee,"আন্তরিকভাবে দুঃখিত, এনআইডি সংশোধনের ক্ষেত্রে জরুরি কোন ফি নাই।"
login_using_old_id_password,"হ্যাঁ, পারবেন।"
ministry_provide_dual_citizenship_certificate,দ্বৈত নাগরিকত্ব সনদ স্বরাষ্ট্র মন্ত্রণালয় থেকে প্রদান করা হয়।
name_correction_in_nid_card,"নিজ নাম (বাংলা ও ইংরেজী) এর ক্ষেত্রে অনলাইন জন্ম সনদ (বাংলা ও ইংরেজী), শিক্ষাগত যোগ্যতা এসএসসি বা তার উর্দ্ধে হলে এসএসসি সনদ, অন্যান্য ক্ষেত্রে পি.ই.সি অথবা জেএসসি সনদ, ড্রাইভিং লাইসেন্স (যদি থাকে), পাসপোর্ট (যদি থাকে), সন্তানদের জন্ম সনদ।"
necessary_documents_to_modify_voter_area,"ভোটার এলাকা পরিবর্তনের জন্য প্রয়োজনীয় দলিলাদি (ক) যে এলাকায় স্থানান্তরিত হবেন সে এলাকার চেয়ারম্যান/ মেয়র/ কাউন্সিলর কর্তৃক নাগরিকত্ব সনদ। (খ) ইউটিলিটি বিলের কপি (গ্যাস/বিদ্যুৎ/পানি)। (গ) যে এলাকায় স্থানান্তরিত হবেন, সেই এলাকায় নিজ নামে বা পিতার নামে মাঠ পর্চা/ জমির দলিল/ভূমি উন্নয়ন ট্যাক্স পরিশোধের রশিদ। (ঘ) আবেদনকারীর জাতীয় পরিচয়পত্রের কপি।"
new_card_got_old_card_found_what_to_do,"আপনি কার্ডটি সতর্কতার সাথে সংরক্ষণ করুন, যাতে কার্ডটির অপব্যবহার না হয়।"
new_nid_card_age,ভোটার হওয়ার জন্য বয়স ১৮ বছর বা তদুর্দ্ধ হতে হয়।
new_voter_application_cancelled,আপনি সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসে যোগাযোগ করে আপনার নতুন ভোটার বাতিল হওয়ার কারণ অনুসন্ধান করতে পারেন।
new_voter_application_not_submitted_to_upazila_or_thana_office,সকল কাগজপত্রসহ সংশ্লিষ্ট জেলা নির্বাচন কর্মকর্তার সাথে যোগাযোগ করুন।
new_voter_apply_online_what_documents_needed,"নিবন্ধনের জন্য অনলাইনে পূরণকৃত নিবন্ধন ফর্মের প্রিন্ট কপির সঙ্গে যেসব কাগজপত্র জমা দিতে হবেঃ (১) ১৭ ডিজিটের অনলাইন জন্মসনদের কপি। (২) জাতীয়তা/নাগরিকত্ব সনদের কপি। (৩) পিতা-মাতা, ভাই-বোনের এনআইডির কপি। পিতা-মাতা মৃত হলে অনলাইন মৃত্যু সনদের কপি। (৪) বিবাহিত হলে স্বামী/ স্ত্রীর এনআইডির কপি। (৫) এসএসসি/দাখিল/সমমান অথবা অষ্টম শ্রেণি পাশের সনদের কপি (প্রযোজ্য ক্ষেত্রে)। (৬) ইউটিলিটি বিলের (বিদ্যুৎ/গ্যাস/পানি/চৌকিদারী ট্যাক্স রশিদ) ফটোকপি।"
new_voter_but_card_rejected,আপনি সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসে যোগাযোগ করে আপনার নতুন ভোটার বাতিল হওয়ার কারণ অনুসন্ধান করতে পারেন। অথবা আপনার এই প্রশ্নের উত্তরটি জানতে ৯ বাটন চেপে কল সেন্টার প্রতিনিধির সঙ্গে সরাসরি কথা বলুন।
new_voter_can_not_download_card_with_form_number,অনলাইনে রেজিষ্ট্রেশন প্রক্রিয়াটি সম্পন্ন করার পর “কার্ড ডাউনলোড” অপশনটি না পেলে সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসে যোগাযোগ করুন।
new_voter_card_getting_time,আপনার এই প্রশ্নের উত্তরটি জানতে ৯ বাটন চেপে কল সেন্টার প্রতিনিধির সঙ্গে সরাসরি কথা বলুন।
new_voter_card_not_taken_has_form_no_can_not_register_online,আপনার এই প্রশ্নের উত্তরটি জানতে ৯ বাটন চেপে কল সেন্টার প্রতিনিধির সঙ্গে সরাসরি কথা বলুন।
new_voter_fees,নতুন ভোটার অথবা এনআইডি নিবন্ধনের জন্য কোন প্রকার ফি প্রদান করতে হয় না।
new_voter_got_normal_card_when_get_smart_card,স্মার্ট কার্ড সাধারণত উপজেলা ভিত্তিক মুদ্রণ করা হয়ে থাকে। আপনার এলাকায় স্মার্ট কার্ড বিতরণ শুরু হলে থানা/উপজেলা নির্বাচন অফিসে যোগাযোগ করুন।
new_voter_how_to_get_card,services.nidw.gov.bd এই ওয়েব পোর্টালে প্রবেশ করে নিম্নোক্ত ধাপগুলো অনুসরণ করুন- (১) “রেজিস্টার করুন” অপশন থেকে নতুন একটি একাউন্ট করুন। (২) লগইন করুন। (৩) ডাউনলোড অপশন থেকে আপনার কাঙ্খিত এনআইডি কার্ডের পিডিএফ ডাউনলোড করুন।
new_voter_identifier_who,আবেদনকারীর পিতা-মাতা/ ভাই-বোন/স্বামী-স্ত্রী/চাচা-ফুপু/ মামা-খালা/ স্থায়ীভাবে বসবাসকারী প্রতিবেশী/ স্থানীয়ভাবে পরিচিত ব্যক্তিবর্গ।
new_voter_no_messages_from_upzila_or_thana,নিবন্ধন ফর্ম ও অন্যান্য সকল ডকুমেন্টস সহ সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসে যোগাযোগ করুন।
new_voter_online_what_documents_to_submit,"নিবন্ধনের জন্য অনলাইনে পূরণকৃত নিবন্ধন ফর্মের প্রিন্ট কপির সঙ্গে যেসব কাগজপত্র জমা দিতে হবেঃ (১) ১৭ ডিজিটের অনলাইন জন্মসনদের কপি। (২) জাতীয়তা/নাগরিকত্ব সনদের কপি। (৩) পিতা-মাতা, ভাই-বোনের এনআইডির কপি। পিতা-মাতা মৃত হলে অনলাইন মৃত্যু সনদের কপি। (৪) বিবাহিত হলে স্বামী/ স্ত্রীর এনআইডির কপি। (৫) এসএসসি/দাখিল/সমমান অথবা অষ্টম শ্রেণি পাশের সনদের কপি (প্রযোজ্য ক্ষেত্রে)। (৬) ইউটিলিটি বিলের (বিদ্যুৎ/গ্যাস/পানি/চৌকিদারী ট্যাক্স রশিদ) ফটোকপি।"
new_voter_pre_condition,"ভোটার হওয়ার পূর্ব শর্তগুলো হলো ক) জন্মসূত্রে বাংলাদেশের নাগরিক হতে হবে। খ) বয়স ১৮ বছর কম বয়স্ক নহেন। গ) কোন উপযুক্ত আদালত কর্তৃক অপ্রকৃতিস্থ বলিয়া ঘোষিত নহেন। (ঘ) উক্ত ভোটার এলাকা বা ক্ষেত্রমত, নির্বাচনী এলাকার অধিবাসী বা অধিবাসী বলিয়া গণ্য হন। (ঙ) বাংলাদেশ Bangladesh Collaborators (Special Tribunals) order, 1972 (P.O. No. 8 of 1972) এর অধীন কোন অপরাধে দণ্ডিত না হইয়া থাকেন এবং (চ) International Crimes (Tribunals) Act, 1973 (Act No. XIX of 1973) এর অধীন কোন অপরাধে দণ্ডিত না হইয়া থাকেন।"
