question,cluster_name
ফিঙ্গারপ্রিন্ট আপডেটের পরেও অবস্থা অপরিবর্তিত,formPrintIssues
আমার বার্থ সার্টিফিকেট এবং এসএসসি সনদে ভিন্ন তথ্য রয়েছে,differentAddresses
জাতীয় পরিচয়পত্রের ঠিকানা পরিবর্তন করতে কি কি জিনিস লাগে,addressUpdateProblems
ফরম নম্বর দিয়ে রেজিষ্ট্রেশন করার পর কেনো আমি কার্ড ডাউনলোড করতে পারছি না,unavailableServices
আমি বাংলাদেশের এনআইডি স্মার্ট কার্ড করতে চাই কি,smartCardConversion
আমার ন্যাশনাল আইডি কার্ড স্মার্ট কার্ড হবে কি,smartCardConversion
নতুন ভোটার নিবন্ধন করেছি,newVoterDuplicates
স্থায়ী ঠিকানা পরিবর্তনের প্রসেসিং টাইম কত,addressChangeTime
টক টু ইউ লেটার,personalStatusChanges
ফিঙ্গারপ্রিন্ট আপডেট করে কিন্তু কাজ এগোচ্ছে না,formPrintIssues
তাহলে এখন উঠি,applicationFailures
প্রবাসী ভাই-বোনেরা জাতীয় পরিচয়পত্র বা ভোটার হওয়ার জন্য কি কি কাজ করতে হবে,newVoterProcess
তথ্য সঠিক দেবার পরেও দেখা যাচ্ছে একাউন্ট এ তালা দেখা যাচ্ছে,passwordErrors
কিভাবে আমার বয়স পরিবর্তন করতে পারি,ageEligibility
আমার কার্ডে আরকেজন এর নাম চলে আসছে,matchFoundErrors
এনআইডি কার্ডে জামাই এর নাম সংশোধন করার জন্য কি কি ডকুমেন্টস লাগবে,nameCorrectionDocuments
আমার স্মার্ট কার্ড পেতে কতদিন লাগবে,smartCardConversion
তথ্য ঠিক করানোর পর নতুন আইডি কার্ড কিভাবে সংগ্রহ করা যায়,websiteErrors
আমি কি আমার নতুন ঠিকানা নথিভুক্ত করার জন্য ইন্টারনেটে আবেদন করতে পারি,onlineAddressInquiry
আপনার স্থায়ী ঠিকানায় উপজেলা দেয়া না থাকলে কি করতে হবে,upazilaFieldEmpty
এনআইডি কার্ড সংশোধন হওয়ার পর পুরনো তথ্য কেন দেখাচ্ছে,onlineApplicationProcess
আমি কি আমার ডিজিটাল ভোটার কার্ড অন্য কাউকে নিতে দিতে পারি,websiteErrors
স্থায়ী ঠিকানা বদলাতে কত টাকা লাগবে,addressChangeFees
সর্বোচ্চ কয়বার একটা কার্ড আপডেট করা যায়,onlineApplicationProcess
বয়স্ক হলে কি স্বয়ংক্রিয়ভাবে ভোটার হই,ageEligibility
সংশোধনের ফি জমা দিয়েছি,correctionFees
নতুন ভোটার আবেদন করার পরেও এডজুডিকেশন পেন্ডিংঅবস্থায় আছি,pendingApplications
ছবি তুলেছি কিন্তু কার্ড এখনও হাতে পাইনি,photoTakenNoCard
বিয়ের পর স্ত্রীর নাম কার্ডে যোগ করতে কি কি কাগজপত্র লাগবে,nameCorrectionDocuments
স্মার্ট কার্ড তুলতে কি কোনো ফি দিতে হয়,newVoterFees
জাতীয় আইডি কার্ডে স্বামী নাম সংশোধনে কি কি ডকুমেন্টস জমা দিতে হবে,nameCorrectionDocuments
স্বামীকে মৃত উল্লেখ করতে চাইলে কি কি সনদ দাখিল করতে হয়,deceasedRelativeInfo
স্মার্ট কার্ড গ্রহণে কি কোনো খরচ আছে,newVoterFees
এম্বাসিতে আবেদন দেওয়ার পর স্মার্ট কার্ড পাবো কীভাবে,smartCardConversion
এনআইডি পোর্টালের এড্রেস জানতে চাই।,onlineServicesInquiry
প্রবাসী এনআইডি নিবন্ধনের পর স্মার্ট কার্ড কিভাবে পাবো,smartCardConversion
কোন ধরণের আবেদন অনলাইনে করা যায় না,onlineServicesInquiry
কার্ড এ টেলিফোন নম্বর আপডেট করার জন্য কি কাগজপত্র লাগে,requiredDocuments
আমার বয়স এইটিন নতুন ভোটার হইয়াও কেন আমার এনআইডি  কার্ড বাতিল হয়েছে,newVoterRejection
আমার পুরোনো কার্ডে জামাইর নাম ছিল,matchFoundErrors
এনআইডি কার্ডে পিতাকে মৃত উল্লেখ করার জন্য কোন সনদ জমা দিতে হবে,deceasedRelativeInfo
ইন্টারনেট ব্যবহার করে আমি অনেক কাজ করতে পারি যার মধ্যে আবেদন করাও অন্তর্ভুক্ত। তবে কি কি ধরনের আবেদন ইন্টারনেটের মাধ্যমে সম্ভব নয় তা জানতে চাই।,onlineServicesInquiry
কার্ডের ভুল তথ্য পরিবর্তন বা ঠিক করার উপায় কি,correctionErrors
নতুন এনআইডি আবেদন করার পরেও পেন্ডিং অবস্থায় থাকলে কি ব্যবস্থা নিতে হবে,pendingApplications
আপনার ঠিকানা পরিবর্তন অনুমোদিত হলে নতুন ঠিকানার কার্ড কোথায় পাবো,addressUpdateProblems
স্থায়ী ঠিকানা পরিবর্তনের জন্য কী ফি প্রযোজ্য,addressChangeFees
এখনো একাউন্ট লক হয়ে আছে,accountLocked
এটা কি জাতীয় পরিচয়পত্র সার্ভিস,generalQueries
কিভাবে আমার ভোটার এলাকা ও নম্বর খুজে পাবো,upazilaFieldEmpty
বিকাশে কিভাবে ক্যাশ ইন করব,correctionFees
আমার সংশোধন আবেদন এর অবস্থা জানতে চাই,correctionApplicationStatus
আমার এনআইডি ফরমে ভুল তথ্য পাঠিয়ে দিয়েছি,correctionErrors
হারানো স্মার্ট কার্ডের জন্য পুনরায় কি নতুন স্মার্ট কার্ড দেওয়া হবে,receiptLostSolutions
ছবিটা পরিষ্কার না,photoTakenNoCard
স্মার্ট কার্ড হারায় গেলে,receiptLostSolutions
পিতার নামের পদবী সংশোধন করার জন্য জাতীয় পরিচয়পত্রে কি কি কাগজপত্র প্রয়োজন,nameCorrectionDocuments
তুমি কি দেখতে কেমন,personalStatusChanges
পার্মানেন্ট ঠিকানায় উপজেলা দেওয়া নাই,upazilaFieldEmpty
ছবি তোলার সময় যে রশিদটি আমি পেয়েছিলাম তা হারিয়ে গেছে,receiptLostDuplicates
ভোটার হওয়ার সময় প্রদত্ত জন্ম সনদ নম্বর পরিবর্তন করতে চাই।,nameChangeProcess
কার্ড এর ওয়েবসাইটে পূর্বের রেজিষ্ট্রেশন থেকে লগ-ইন করা যায় কিভাবে,onlineServicesInquiry
আপনার সময়ের জন্য ধন্যবাদ,chatbotCapabilities
কার্ডে আরেকজনের ছবি দিয়া দিছে কিভাবে সংশোধন করতে হবে,onlineApplicationProcess
অ্যান্ড্রয়েড ফোন ছাড়া এনআইডি ওয়ালেট ডাউনলোড করার কোনো উপায় আছে কি,mobileAppIssues
টিন নম্বর আপডেট করতে কি কি কাগজপত্র লাগে,requiredDocuments
প্রকাশ্যতা নেওয়ার সময় ফটো তোলা হয়েছিল,photoTakenLongAgo
ভোটার হওয়ার সময় প্রদত্ত পাসপোর্ট নম্বর পরিবর্তন করতে চাই।,nameChangeProcess
স্থায়ী ঠিকানায় উপজেলা নাই,upazilaFieldEmpty
আমি এনআইডি সংশোধন সম্পর্কিত কোন ধরনের প্রশ্ন করতে পারি,onlineApplicationProcess
আমার রক্ত গ্রুপ ভুল লেখা হয়েছে এনআইডি কার্ডে,bloodGroupCorrection
ঠিকানা পরিবর্তনের আবেদন করেছি এবং মাসেজ ও আসছে,onlineAddressInquiry
সব ডক ঠিক থাকা সত্ত্বেও আমার আবেদন কেন বাতিল করা হলো,newVoterRejection
আমার পিতার নামের উল্লেখ জাতীয় পরিচয়পত্রে ভুল হয়েছে,nameSpellingCorrection
আমি বাংলাদেশে নেই,applicationFailures
স্বামী নামের বানান ভুল থাকলে কিভাবে সংশোধন করব কি কি প্রমাণ জমা দিতে হবে,nameSpellingCorrection
কত টাকা জমা দিতে হবে সংশোধনের জন্য,correctionFees
আমি দশ ডিজিট আইডি কার্ড পেয়েছি,matchFoundErrors
বিদেশে থাকা অবস্থায় বাংলাদেশি এনআইডি কার্ড কিভাবে করবো,overseasRegistration
কার্ডের ছবি ভালো আসেনি,photoTakenNoCard
কার্ড লক হয়ে গেলে কিভাবে খুলতে হবে,accountLocked
ভুল করে আমার শিক্ষাগত যোগ্যতা বেশি দেখিয়েছি,correctionErrors
স্মার্ট কার্ড সংগ্রহ করার জন্য কোথায় যেতে হবে,smartCardConversion
নাম সংশোধন করতে স্বামীর এনআইডি কার্ডের কি কি ডকুমেন্টস প্রয়োজন,nameCorrectionDocuments
আবেদন জমা দিয়েছি কিন্তু এখন বুঝতে পারছি আরো কিছু কারেকশন দরকার,correctionApplicationStatus
নতুন ভোটারের জন্য আবেদন করেছি,newVoterDuplicates
ভুল করে জীবিত স্ত্রীর নামের পূর্বে মৃত এসেছে,deceasedRelativeInfo
আবেদন বাতিল হওয়ার পর নতুন আবেদনের জন্য পয়সা জমা করতে হবে,applicationCancelled
রক্তের গ্রুপ আপডেট করার নিয়ম কী,bloodGroupCorrection
সংশোধনের জন্য যে আবেদন করেছি সেটা বাতিল করতে কি করতে হবে,applicationCancelled
স্মার্ট বা প্লস্টিকের কার্ড মুদ্রণ হয়েছে কিনা তা কিভাবে ভেরিফাই করবো,smartCardPrintStatus
এনআইডি ওয়ালেট এ ফেস ভেরিফিকেশন সম্পন্ন হয়েছে,faceVerificationCompleted
এনআইডি কার্ডে স্বামী নাম যোগ করার জন্য কি কি কাগজপত্র লাগবে,nameCorrectionDocuments
একজন বাস্তব এজেন্টের সাথে কথা বলতে চাই,generalQueries
কার্ড এর এক সাইড এ আমার তথ্য আসছে,matchFoundErrors
আমি অস্ট্রেলিয়ার হাইকমিশনে বায়োমেট্রিক দিয়েছি,faceVerificationCompleted
অনলাইনে এনআইডি আবেদনের পর দেখলাম কিছু তথ্য ভুল,correctionErrors
নতুন ভোটার হওয়ার পর কাগজ জমা দিতে হবে কি,newVoterProcess
এনআইডি আপডেটের জন্য সনদ দিতে হবে,requiredDocuments
ফি জমা দিতে কোন নম্বর ব্যবহার করবো,registrationFees
ম্যাচ ফাউন্ড দেখতে পেয়েছি,applicationFailures
এই সেবার মাধ্যমে ভোটার আইডি স্ট্যাটাস যাচাই করা সম্ভব,chatbotCapabilities
আমার ভোটার নিবন্ধন এডজুডিকেশন পেন্ডিং,pendingApplications
আমি স্মার্ট কার্ড সংশোধন করতে স্মার্ট কার্ড অপশন সিলেক্ট করলাম,smartCardConversion
ভোটার স্থানান্তর হয়ে গেলে কি রি-ইস্যুর এপ্লিকেশন করতে হবে,reissueStatus
আমার স্বাক্ষর পরিবর্তন করতে হলে কোথায় যেতে হবে,addressUpdateProblems
রিইস্যু আবেদন অনেকদিন আগে করেছি,reissueStatus
একটা ফোন দিয়ে কতবার ভোটার নিবন্ধন করতে পারি,generalQueries
ভোটার এলাকার স্থানান্তরে চেয়ারম্যানের স্বাক্ষর প্রয়োজন,addressUpdateProblems
এই সেবার মাধ্যমে কি ভুল ভোটার আইডি নম্বর সংশোধন করা সম্ভব,correctionErrors
পাসপোর্ট নম্বর যে আমি ভোটার হিসেবে দিয়েছিলাম সেটা এখন এক্সপায়ার্ড,newVoterDuplicates
ভোটার হওয়ার জন্য কোন বয়স প্রয়োজন,ageEligibility
বর্তমান ঠিকানা বদলানোর প্রসেসে কতদিন লাগে,addressChangeTime
আমার বয়স আঠারো অনলাইনে আবেদন দেওয়ার পর কি কি কাগজপত্র জমা দিতে হবে,onlineServicesInquiry
আমি একজন কল সেন্টার এজেন্ট এর সাথে কথা বলতে চাই,generalQueries
নিডি কার্ডে জন্মস্থান ভুল হয়েছে,correctionErrors
কার্ড রিলেটেড কোন বিষয়গুলো অনলাইনের মাধ্যমে ঠিক করা যায় না,onlineApplicationProcess
ভোটার কার্ডে আমার ফোন নম্বর আপডেট করতে চাই,nameChangeProcess
রকেট ব্যবহার করে এনআইডি সংশোধনের ফি কীভাবে জমা দেব,correctionFees
আমার বয়স দুইরকম কার্ডে আর সনদ এ,matchFoundErrors
আপনার মাধ্যমে কি কি তথ্য পাওয়া যাবে,generalQueries
ভোটার হওয়ার জন্য কি কোন শর্টকাট আছে,newVoterProcess
একবার বাতিল হওয়া সংশোধন আবেদন আবার করতে কি টাকা জমা দিতে হবে,applicationCancelled
অনলাইনে এখনো লক দেখাচ্ছে,accountLocked
ম্যাচ ফাউন্ড দেখানোর পর আমি কি করণীয়,generalQueries
ইউটিলিটি বিল না থাকলে ভোটার ঠিকানা পরিবর্তনের কি উপায় আছে,addressUpdateProblems
ঠিকানা সংশোধনের অনলাইন অপশন আছে কি,onlineAddressInquiry
বিদেশি স্বামী বা স্ত্রীর এনআইডি নেওয়ার সুযোগ আছে কি,overseasRegistration
কি কি কাগজপত্র লাগবে জন্মস্থান সংশোধনের জন্য,requiredDocuments
জন্মস্থানের তথ্যে ভুল রয়েছে,correctionErrors
নতুন ভোটার আবেদন পেন্ডিং রয়েছে,pendingApplications
আপডেট করে দিয়েছি ফিঙ্গারপ্রিন্ট কিন্তু এখনো পেন্ডিং,formPrintIssues
ডিভোর্সের পর কীভাবে আমার স্বামীর নাম বাদ দিতে পারি,nameCorrectionDocuments
ভোটার স্লিপ নেই,unavailableServices
আমার এনআইডি কার্ডের জন্য অনলাইনে সংশোধন আবেদন কিভাবে করি,onlineApplicationProcess
প্রবাসী হিসেবে এনআইডি বা ভোটার নিবন্ধন আবেদন জমা দেওয়ার পর এখন কি অবস্থা,overseasRegistration
পুনঃ-ইস্যু করার জন্য কত টাকা দিতে হবে,reissueStatus
এনআইডি অনলাইন পোর্টালে রেজিষ্ট্রেশন করবো কিভাবে,onlineServicesInquiry
এনআইডি রেজিস্ট্রেশনের জন্য কি দ্বৈত নাগরিকত্ব আবশ্যক,dualCitizenship
আইড লক হয়েছে কার সাথে যোগাযোগ করতে হবে,accountLocked
আমি বহুদিন আগে ভোটার হওয়ার জন্য ছবি তুলেছি কিন্তু এখনো কোনো খবর পাইনি। এনআইডি নাম্বার পাবো কীভাবে,photoTakenNoCard
আমি কি স্মার্ট এনআইডি কার্ডের জন্য আবেদন করতে পারি,smartCardConversion
বিকাশ অ্যাপে টাকা জমা দেয়ার নিয়ম কি,correctionFees
এই সেবা কি এনআইডি যাচাইয়ে সাহায্য করতে পারে,chatbotCapabilities
জাতীয় পরিচয়পত্রে স্বামী নাম সংশোধনের জন্য কি কি কাগজপত্র প্রয়োজন,nameCorrectionDocuments
ভোটার কার্ড পাবার জন্য কতদিন লাগবে,websiteErrors
কি করবো আমি যখন আমার এনআইডি কার্ড এর নাম বা ঠিকানা বা বাবার নাম বা স্ত্রীর নাম সংশোধনের জন্য আবেদন করেছি,nameCorrectionDocuments
কার্ড এর স্বামীর বা স্ত্রীর নাম এর জায়গায় আমার জামাইর বা বউ এর নাম মৃত লেখা থাকে তাহলে ঠিক করবো কেমনে,deceasedRelativeInfo
আমার কার্ড তালা লেগে গেছে,matchFoundErrors
আমি আইডি কার্ডে স্বামীর নাম পেতে চাচ্ছি,nameCorrectionDocuments
ভুল করে দুইবার ভোটার নিবন্ধন হয়ে গেছে,correctionErrors
কি ধরনের আবেদন করা যাবে না,unavailableServices
কার্ডে উল্লেখিত বয়স ঠিক করতে কি করা লাগবে,ageEligibility
ওয়ালেট এপ্লিকেশন এ ফেস ভেরিফিকেশন সাকসেস হচ্ছে না,unavailableServices
ভোটার এলাকার তথ্য পরিবর্তন করার জন্য কোথা থেকে সংগ্রহ করবো,addressUpdateProblems
আমার এনআইডি কার্ডে পিতার নামের বানানে ভুল রয়েছে,nameSpellingCorrection
আমি এম্বাসী বা দূতাবাসে এনআইডি বা ভোটার নিবন্ধন আবেদন জমা দিয়েছি,overseasRegistration
নতুন ভোটার আবেদন করে দিয়েছি কিন্তু এখনো এডজুডিকেশন পেন্ডিং,pendingApplications
আমার নতুন ঠিকানায় এনআইডি আপডেট করার পদ্ধতি কী,addressUpdateProblems
আমি বাংলাদেশের বাইরে আছি। আমি কি এনআইডি কার্ডের জন্য আবেদন করতে পারি,overseasRegistration
কিউআর কোড পাওয়ার পর কি ধাপ নেওয়া উচিত,generalQueries
নতুন এনআইডি আবেদন করে দিয়েছি কিন্তু পেন্ডিং অবস্থায়,pendingApplications
কার্ড সংশোধন দ্রুত করতে কি কোনো ফি আছে,onlineApplicationProcess
আমি বিভিন্ন ধরনের আবেদন ইন্টারনেটের মাধ্যমে করতে চাই। কিন্তু কি কি বিষয়ে ইন্টারনেটে আবেদন করা যাবে না তা জানতে আগ্রহী।,onlineServicesInquiry
বর্তমান ঠিকানায় ভোটার হওয়ার জন্য কী পদক্ষেপ নিতে হবে,newVoterProcess
কার্ড হারিয়ে গেলে নতুন পাইতে কি কোন টাকা দিতে হবে,receiptLostSolutions
অনলাইনে কি কি আবেদন করা যায় না,onlineServicesInquiry
ওয়েবপোর্টালে কি কি সেবা প্রদান করা হয় না এনআইডির জন্য,onlineServicesInquiry
আমি কল সেন্টারে কথা বলতে চাই,generalQueries
অনলাইন আইডি পোর্টাল লক হয়ে গেছে,accountLocked
কার্ড রি-ইস্যুর জন্য কি কি ডক লাগবে,reissueStatus
স্বামীর ভোটার আইডি নম্বর আপডেট করতে চাই।,nameChangeProcess
কার্ড এর ছবি আমার কিন্তু সব তথ্য আরেকজন এর কি করতে পারি এইটা নিয়ে,photoTakenNoCard
নতুন ভোটার আইডির ফর্মে শনাক্তকারী কে,newVoterProcess
আমার ভোটার নিবন্ধনের জন্য আবেদন করেছি,newVoterDuplicates
